"datetime","open","high","low","close","Hp","Lp"
1630892220,51798.7,51805,51771.6,51788.6,51909.0898,51407.625
1630892280,51788.58,51835.32,51788.07,51807.32,51909.0898,51407.625
1630892340,51807.33,51854,51806.64,51850,51909.0898,51407.625
1630892400,51850,51852.28,51788.94,51800,51909.0898,51407.625
1630892460,51799.99,51820.49,51792.94,51794.52,51909.0898,51407.625
1630892520,51794.52,51807.56,51791.81,51792.75,51909.0898,51407.625
1630892580,51792.76,51812.36,51791.81,51794.74,51909.0898,51407.625
1630892640,51794.75,51799.92,51770.39,51779.88,51909.0898,51407.625
1630892700,51779.88,51780,51751.68,51779.99,51909.0898,51407.625
1630892760,51779.99,51780,51756.47,51763.59,51909.0898,51407.625
1630892820,51763.6,51769,51757.2,51758.74,51909.0898,51407.625
1630892880,51758.74,51794,51758.74,51780.01,51909.0898,51407.625
1630892940,51780.01,51789.7,51763.5,51765.46,51909.0898,51407.625
1630893000,51765.47,51796.95,51765.46,51793.7,51909.0898,51407.625
1630893060,51793.71,51826.97,51792.35,51823.07,51909.0898,51407.625
1630893120,51822.99,51823.81,51797.27,51808.02,51909.0898,51407.625
1630893180,51809.18,51814.53,51800,51800,51909.0898,51407.625
1630893240,51800,51809.22,51799.08,51800,51909.0898,51407.625
1630893300,51800,51823.88,51800,51821.66,51909.0898,51407.625
1630893360,51821.66,51826.15,51821.66,51824.39,51909.0898,51407.625
1630893420,51824.4,51855,51814.61,51854.88,51909.0898,51407.625
1630893480,51854.88,51865.55,51836.46,51865.36,51909.0898,51407.625
1630893540,51865.36,51865.76,51827.54,51835.01,51909.0898,51407.625
1630893600,51835.09,51836.71,51804.5,51804.5,52000.9023,51500.2695
1630893660,51804.5,51824.53,51779.05,51786.14,52000.9023,51500.2695
1630893720,51786.14,51800,51781.9,51793.77,52000.9023,51500.2695
1630893780,51793.78,51809.01,51793.77,51804.45,52000.9023,51500.2695
1630893840,51804.46,51840,51781.21,51835.12,52000.9023,51500.2695
1630893900,51835.12,51865.09,51817.69,51836.53,52000.9023,51500.2695
1630893960,51836.32,51848.37,51813.11,51813.11,52000.9023,51500.2695
1630894020,51813.5,51815,51800,51803.91,52000.9023,51500.2695
1630894080,51803.91,51803.92,51787.69,51787.7,52000.9023,51500.2695
1630894140,51787.7,51803.88,51787.69,51794.35,52000.9023,51500.2695
1630894200,51794.35,51838.95,51794.34,51815.94,52000.9023,51500.2695
1630894260,51815.95,51828.08,51803.9,51824.77,52000.9023,51500.2695
1630894320,51824.77,51837.74,51799.99,51808.77,52000.9023,51500.2695
1630894380,51808.78,51834.64,51801.03,51816.09,52000.9023,51500.2695
1630894440,51816.09,51828.81,51806.02,51817.57,52000.9023,51500.2695
1630894500,51817.58,51820,51794.99,51803.4,52000.9023,51500.2695
1630894560,51803.4,51819.34,51787.69,51807.9,52000.9023,51500.2695
1630894620,51805.56,51810.21,51787.7,51793,52000.9023,51500.2695
1630894680,51793.01,51813.39,51789.59,51797.24,52000.9023,51500.2695
1630894740,51797.24,51797.8,51761.8,51762.08,52000.9023,51500.2695
1630894800,51762.08,51778.74,51702.49,51739.4,52000.9023,51500.2695
1630894860,51739.41,51741.81,51714.12,51718.92,52000.9023,51500.2695
1630894920,51718.92,51733.53,51714.42,51716.07,52000.9023,51500.2695
1630894980,51716.99,51718.52,51708,51713,52000.9023,51500.2695
1630895040,51713,51743.06,51704.91,51713.82,52000.9023,51500.2695
1630895100,51713.81,51746,51706.6,51738.03,52000.9023,51500.2695
1630895160,51738.03,51749.56,51715.48,51732.35,52000.9023,51500.2695
1630895220,51732.35,51736.07,51711.77,51717.6,52000.9023,51500.2695
1630895280,51717.6,51732.81,51715.77,51726.06,52000.9023,51500.2695
1630895340,51726.06,51750,51717.21,51750,52000.9023,51500.2695
1630895400,51750,51773.51,51741.08,51773.51,52000.9023,51500.2695
1630895460,51773.51,51782.57,51773.5,51780.13,52000.9023,51500.2695
1630895520,51780.13,51780.13,51757.01,51758.86,52000.9023,51500.2695
1630895580,51758.6,51791.45,51758,51782.65,52000.9023,51500.2695
1630895640,51782.64,51783.41,51758.84,51776.24,52000.9023,51500.2695
1630895700,51776.25,51809.89,51770.4,51809.89,52000.9023,51500.2695
1630895760,51809.9,51810.13,51762.64,51765.49,52000.9023,51500.2695
1630895820,51766.11,51784.66,51762.46,51780.04,52000.9023,51500.2695
1630895880,51780.04,51786.6,51752.56,51752.57,52000.9023,51500.2695
1630895940,51752.57,51762.29,51741.09,51742.38,52000.9023,51500.2695
1630896000,51742.38,51746.98,51735.53,51746.97,52000.9023,51500.2695
1630896060,51746.98,51756.17,51745.54,51749.01,52000.9023,51500.2695
