,0,1,2,3,4,5,6,7,8,9,10
9,45578518,2022-10-27 12:33:19,SELL,0.02,EURUSD,1.00827,1.00409,0.84,8.36,0.84 pips,
10,45577856,2022-10-27 12:33:20,SELL,0.0152,EURUSD,1.00807,1.00411,0.60,6.02,0.60 pips,
11,45577304,2022-10-27 12:33:21,SELL,0.005,EURUSD,1.00808,1.00409,0.20,2.00,0.20 pips,
12,45573003,2022-10-27 12:33:23,SELL,0.005,EURUSD,1.00751,1.00401,0.18,1.75,0.18 pips,
13,45572292,2022-10-27 12:33:24,SELL,0.01,EURUSD,1.00639,1.00400,0.24,2.39,0.24 pips,
14,45526144,2022-10-26 15:58:52,SELL,0.02,EURUSD,1.00410,1.00034,0.75,7.52,0.75 pips,
15,45516629,2022-10-26 14:25:29,SELL,0.05,EURUSD,1.00289,1.00284,0.03,0.25,0.03 pips,
16,45449575,2022-10-27 12:40:31,SELL,0.0139,EURUSD,0.99682,1.00381,-0.97,-9.72,-0.97 pips,
17,45442616,2022-10-27 12:44:22,SELL,0.0089,EURUSD,0.99557,1.00344,-0.70,-7.00,-0.70 pips,
18,45439054,2022-10-27 12:47:11,SELL,0.0025,EURUSD,0.99401,1.00346,-0.24,-2.36,-0.24 pips,
19,45436321,2022-10-27 12:46:40,SELL,0.0058,EURUSD,0.99349,1.00350,-0.58,-5.81,-0.58 pips,1 ... 7 8 9 10 11 ... 107
0,45433019,2022-10-27 12:46:51,SELL,0.0037,EURUSD,0.99257,1.00343,-0.40,-4.02,-0.40 pips,
1,45432309,2022-10-27 12:46:55,SELL,0.0025,EURUSD,0.99222,1.00334,-0.28,-2.78,-0.28 pips,
2,45432207,2022-10-27 12:47:10,SELL,0.0025,EURUSD,0.99176,1.00348,-0.29,-2.93,-0.29 pips,
3,45430265,2022-10-27 12:47:07,SELL,0.0024,EURUSD,0.99085,1.00347,-0.30,-3.03,-0.30 pips,
4,45427019,2022-10-27 12:47:09,SELL,0.0016,EURUSD,0.98894,1.00345,-0.23,-2.32,-0.23 pips,
5,45423567,2022-10-27 12:47:13,SELL,0.001,EURUSD,0.98739,1.00349,-0.16,-1.61,-0.16 pips,
6,45417986,2022-10-25 15:06:24,SELL,0.001,EURUSD,0.98652,0.98592,0.01,0.06,0.01 pips,
7,45394931,2022-10-25 14:04:57,SELL,0.001,EURUSD,0.98597,0.98537,0.01,0.06,0.01 pips,
8,45390844,2022-10-25 09:55:44,SELL,0.001,EURUSD,0.98687,0.98625,0.01,0.06,0.01 pips,
9,45373912,2022-10-25 08:24:39,SELL,0.0016,EURUSD,0.98863,0.98741,0.02,0.20,0.02 pips,
10,45365324,2022-10-25 08:24:39,SELL,0.001,EURUSD,0.98701,0.98741,0.00,-0.04,0.00 pips,
11,45361964,2022-10-24 19:38:50,SELL,0.001,EURUSD,0.98724,0.98663,0.01,0.06,0.01 pips,
12,45357089,2022-10-24 18:04:27,SELL,0.001,EURUSD,0.98847,0.98787,0.01,0.06,0.01 pips,
13,45345433,2022-10-24 17:01:50,SELL,0.001,EURUSD,0.98757,0.98691,0.01,0.07,0.01 pips,
14,45327973,2022-10-24 16:23:18,SELL,0.001,EURUSD,0.98341,0.98279,0.01,0.06,0.01 pips,
15,45321622,2022-10-24 14:39:54,SELL,0.001,EURUSD,0.98218,0.98157,0.01,0.06,0.01 pips,
16,45317178,2022-10-24 13:10:58,SELL,0.001,EURUSD,0.98326,0.98266,0.01,0.06,0.01 pips,
17,45309908,2022-10-24 12:15:52,SELL,0.001,EURUSD,0.98339,0.98279,0.01,0.06,0.01 pips,
18,45302933,2022-10-24 11:02:14,SELL,0.001,EURUSD,0.98339,0.98278,0.01,0.06,0.01 pips,
19,45295415,2022-10-24 10:30:01,SELL,0.001,EURUSD,0.98458,0.98387,0.01,0.07,0.01 pips,1 ... 8 9 10 11 12 ... 107
0,45285922,2022-10-24 09:36:27,SELL,0.0016,EURUSD,0.98467,0.98359,0.02,0.17,0.02 pips,
1,45282890,2022-10-24 09:36:27,SELL,0.001,EURUSD,0.98341,0.98359,0.00,-0.02,0.00 pips,
2,45276054,2022-10-24 06:20:19,SELL,0.001,EURUSD,0.98351,0.98291,0.01,0.06,0.01 pips,
3,45095023,2022-10-20 18:26:17,WITHDRAWAL,0.00,-8.68,,,,,,
4,45091782,2022-10-20 18:20:26,SELL,0.0037,EURUSD,0.98441,0.98257,0.07,0.68,0.07 pips,
5,45091344,2022-10-20 18:20:24,SELL,0.005,EURUSD,0.98439,0.98257,0.09,0.91,0.09 pips,
6,45086903,2022-10-20 18:20:28,SELL,0.0024,EURUSD,0.98307,0.98255,0.01,0.12,0.01 pips,
7,45084612,2022-10-20 18:20:32,SELL,0.0015,EURUSD,0.98192,0.98265,-0.01,-0.11,-0.01 pips,
8,45083262,2022-10-20 18:20:34,SELL,0.0016,EURUSD,0.98130,0.98266,-0.02,-0.22,-0.02 pips,
9,45082531,2022-10-20 18:20:40,SELL,0.0025,EURUSD,0.98055,0.98262,-0.05,-0.52,-0.05 pips,
10,45079853,2022-10-20 18:20:38,SELL,0.001,EURUSD,0.97853,0.98261,-0.04,-0.41,-0.04 pips,
11,45063418,2022-10-20 16:32:41,SELL,0.0015,EURUSD,0.98257,0.97920,0.05,0.51,0.05 pips,
12,45062042,2022-10-20 16:32:46,SELL,0.0025,EURUSD,0.98017,0.97918,0.02,0.25,0.02 pips,
13,45060953,2022-10-20 16:32:47,SELL,0.0016,EURUSD,0.98059,0.97906,0.02,0.24,0.02 pips,
14,45054750,2022-10-20 16:32:47,SELL,0.001,EURUSD,0.97823,0.97906,-0.01,-0.08,-0.01 pips,
15,45048810,2022-10-20 12:34:29,SELL,0.001,EURUSD,0.97812,0.97752,0.01,0.06,0.01 pips,
