,0,1,2,3,4,5,6,7,8,9,10
11,33697062,2022-10-11 21:08:37,SELL,0.03,NZDCAD,0.77165,0.77287,-0.27,-2.74,-0.27 pips,
12,33696829,2022-10-11 18:06:46,BUY,0.03,AUDNZD,1.12268,1.12374,0.17,1.70,0.17 pips,
13,33688759,2022-10-11 11:18:15,SELL,0.03,NZDCAD,0.77077,0.76973,0.22,2.19,0.22 pips,
14,33688605,2022-10-11 11:06:59,BUY,0.03,AUDNZD,1.12600,1.12708,0.17,1.73,0.17 pips,
15,33668485,2022-10-10 21:48:36,BUY,0.03,NZDCAD,0.76485,0.76589,0.22,2.20,0.22 pips,
16,33668115,2022-10-10 21:36:33,BUY,0.06,AUDCAD,0.86435,0.86721,1.23,12.33,1.23 pips,
17,33658989,2022-10-10 15:57:49,BUY,0.03,NZDCAD,0.76610,0.76715,0.22,2.23,0.22 pips,
18,33652407,2022-10-10 14:06:36,BUY,0.03,AUDNZD,1.12850,1.13076,0.37,3.70,0.37 pips,
19,33649747,2022-10-10 21:36:33,BUY,0.03,AUDCAD,0.86751,0.86721,-0.07,-0.73,-0.07 pips,1 2 3 4 5 6 7 ... 18
0,33641806,2022-10-10 21:36:33,BUY,0.03,AUDCAD,0.87146,0.86721,-0.94,-9.35,-0.94 pips,
1,33640420,2022-10-10 14:06:36,BUY,0.03,AUDNZD,1.13190,1.13076,-0.20,-1.99,-0.20 pips,
2,33615596,2022-10-07 13:52:24,WITHDRAWAL,0.00,-750.00,,,,,,
3,33601804,2022-10-07 01:30:08,DEPOSIT,0.00,724.02,,,,,,
4,33563482,2022-10-06 10:44:54,SELL,0.03,AUDCAD,0.88737,0.88502,0.51,5.11,0.51 pips,
5,33563148,2022-10-06 10:57:09,SELL,0.03,NZDCAD,0.78570,0.78325,0.53,5.34,0.53 pips,
6,33559180,2022-10-06 10:57:09,SELL,0.03,NZDCAD,0.78200,0.78325,-0.31,-3.11,-0.31 pips,
7,33556219,2022-10-06 10:44:54,SELL,0.03,AUDCAD,0.88383,0.88502,-0.28,-2.81,-0.28 pips,
8,33553585,2022-10-05 19:51:42,SELL,0.03,AUDCAD,0.88326,0.88219,0.23,2.27,0.23 pips,
9,33521898,2022-10-05 05:06:57,SELL,0.03,NZDCAD,0.78038,0.77934,0.22,2.23,0.22 pips,
10,33521828,2022-10-05 05:07:54,BUY,0.03,AUDNZD,1.12734,1.12854,0.20,1.99,0.20 pips,
11,33517115,2022-10-04 21:53:41,BUY,0.03,NZDCAD,0.77320,0.77424,0.22,2.24,0.22 pips,
12,33515870,2022-10-04 22:00:46,BUY,0.03,AUDCAD,0.87659,0.87766,0.23,2.29,0.23 pips,
13,33481794,2022-10-04 06:45:40,BUY,0.03,AUDNZD,1.13491,1.13597,0.17,1.74,0.17 pips,
14,33481629,2022-10-04 09:13:07,BUY,0.03,AUDCAD,0.88283,0.88393,0.24,2.35,0.24 pips,
15,33480579,2022-10-04 06:43:05,BUY,0.03,NZDCAD,0.77682,0.77792,0.24,2.36,0.24 pips,
16,33467652,2022-10-03 18:38:04,SELL,0.03,NZDCAD,0.78153,0.78048,0.22,2.24,0.22 pips,
17,33467443,2022-10-03 18:32:38,BUY,0.03,AUDNZD,1.13666,1.13772,0.17,1.74,0.17 pips,
18,33406931,2022-09-30 15:02:05,WITHDRAWAL,0.00,-15.14,,,,,,
19,33383571,2022-09-30 10:33:25,BUY,0.03,AUDNZD,1.13573,1.13685,0.17,1.73,0.17 pips,1 ... 4 5 6 7 8 ... 18
0,33379708,2022-09-30 14:08:17,SELL,0.03,AUDCAD,0.88944,0.88698,0.53,5.26,0.53 pips,
1,33323302,2022-09-29 05:41:42,SELL,0.03,NZDCAD,0.77723,0.77606,0.22,2.21,0.22 pips,
2,33319647,2022-09-30 14:08:17,SELL,0.03,AUDCAD,0.88570,0.88698,-0.30,-3.03,-0.30 pips,
3,33302992,2022-09-28 14:01:49,SELL,0.03,NZDCAD,0.77538,0.77432,0.22,2.24,0.22 pips,
4,33282673,2022-09-28 13:12:08,BUY,0.03,AUDCAD,0.88002,0.88260,0.55,5.54,0.55 pips,
5,33278747,2022-09-28 12:39:09,BUY,0.03,NZDCAD,0.77055,0.77297,0.52,5.19,0.52 pips,
6,33270501,2022-09-28 12:39:09,BUY,0.03,NZDCAD,0.77429,0.77297,-0.30,-2.97,-0.30 pips,
7,33269300,2022-09-28 13:12:08,BUY,0.03,AUDCAD,0.88400,0.88260,-0.32,-3.24,-0.32 pips,
8,33258669,2022-09-27 17:48:24,BUY,0.03,NZDCAD,0.77633,0.77737,0.22,2.21,0.22 pips,
9,33256157,2022-09-27 16:00:05,WITHDRAWAL,0.00,-19.77,,,,,,
10,33235231,2022-09-27 15:54:21,BUY,0.03,AUDNZD,1.13875,1.13981,0.17,1.73,0.17 pips,
11,33225282,2022-09-27 09:27:12,SELL,0.24,AUDNZD,1.14556,1.13913,8.73,87.34,8.73 pips,
12,33220526,2022-09-27 03:14:34,BUY,0.03,NZDCAD,0.77644,0.77750,0.22,2.21,0.22 pips,
13,33156492,2022-09-26 19:06:52,BUY,0.03,AUDCAD,0.88793,0.89039,0.52,5.16,0.52 pips,
14,33129706,2022-09-26 19:06:52,BUY,0.03,AUDCAD,0.89165,0.89039,-0.29,-2.93,-0.29 pips,
15,33117876,2022-09-23 09:27:33,BUY,0.03,AUDCAD,0.89308,0.89413,0.23,2.25,0.23 pips,
16,33113353,2022-09-27 09:27:12,SELL,0.12,AUDNZD,1.13659,1.13913,-1.81,-18.13,-1.81 pips,
17,33084051,2022-09-22 12:55:01,SELL,0.03,AUDCAD,0.89465,0.89358,0.23,2.30,0.23 pips,
18,33056682,2022-09-21 22:05:31,SELL,0.03,AUDCAD,0.89510,0.89401,0.24,2.36,0.24 pips,
19,32978929,2022-09-20 23:09:50,BUY,0.03,NZDCAD,0.78633,0.78853,0.49,4.87,0.49 pips,1 ... 5 6 7 8 9 ... 18
0,32973703,2022-09-27 09:27:12,SELL,0.06,AUDNZD,1.13251,1.13913,-2.33,-23.30,-2.33 pips,
1,32966954,2022-09-27 09:27:12,SELL,0.03,AUDNZD,1.12827,1.13913,-1.90,-18.95,-1.90 pips,
2,32958267,2022-09-20 23:09:50,BUY,0.03,NZDCAD,0.78962,0.78853,-0.26,-2.56,-0.26 pips,
3,32953880,2022-09-27 09:27:12,SELL,0.03,AUDNZD,1.12480,1.13913,-2.49,-24.90,-2.49 pips,
4,32930854,2022-09-19 03:31:19,SELL,0.03,AUDCAD,0.89250,0.89144,0.23,2.32,0.23 pips,
5,32926035,2022-09-16 22:57:05,WITHDRAWAL,0.00,-25.90,,,,,,
6,32892134,2022-09-16 09:04:51,SELL,0.03,NZDCAD,0.79189,0.79085,0.23,2.28,0.23 pips,
7,32892000,2022-09-16 08:53:24,SELL,0.03,AUDCAD,0.88956,0.88851,0.23,2.30,0.23 pips,
8,32891170,2022-09-16 06:24:20,SELL,0.03,AUDNZD,1.12524,1.12419,0.18,1.80,0.18 pips,
9,32873676,2022-09-15 17:36:30,BUY,0.03,AUDNZD,1.12203,1.12310,0.18,1.84,0.18 pips,
10,32863614,2022-09-15 14:30:07,BUY,0.03,AUDCAD,0.88634,0.88740,0.23,2.33,0.23 pips,
11,32849196,2022-09-15 11:26:03,SELL,0.03,AUDNZD,1.12498,1.12384,0.20,1.98,0.20 pips,
12,32798147,2022-09-14 18:21:30,BUY,0.03,AUDCAD,0.88722,0.88834,0.24,2.36,0.24 pips,
13,32778186,2022-09-14 09:09:21,SELL,0.06,AUDNZD,1.12389,1.12096,1.03,10.31,1.03 pips,
14,32775472,2022-09-13 16:44:15,BUY,0.03,AUDCAD,0.88908,0.89014,0.24,2.35,0.24 pips,
15,32762890,2022-09-13 15:30:01,SELL,0.03,AUDCAD,0.89572,0.89374,0.45,4.49,0.45 pips,
16,32705615,2022-09-12 12:56:13,SELL,0.03,AUDCAD,0.89360,0.89249,0.25,2.48,0.25 pips,
17,32689047,2022-09-10 11:30:31,WITHDRAWAL,0.00,-14.22,,,,,,
18,32686488,2022-09-14 09:09:21,SELL,0.03,AUDNZD,1.12050,1.12096,-0.10,-1.00,-0.10 pips,
19,32651289,2022-09-09 15:29:10,SELL,0.03,AUDCAD,0.89051,0.88801,0.57,5.69,0.57 pips,1 ... 6 7 8 9 10 ... 18
0,32642649,2022-09-14 09:09:21,SELL,0.03,AUDNZD,1.11682,1.12096,-0.76,-7.62,-0.76 pips,
1,32640131,2022-09-09 15:29:10,SELL,0.03,AUDCAD,0.88659,0.88801,-0.34,-3.35,-0.34 pips,
2,32573482,2022-09-08 03:14:44,SELL,0.03,NZDCAD,0.79649,0.79532,0.23,2.30,0.23 pips,
3,32520556,2022-09-07 19:43:19,BUY,0.03,NZDCAD,0.79299,0.79535,0.53,5.31,0.53 pips,
4,32504512,2022-09-09 06:17:28,BUY,0.03,AUDCAD,0.88590,0.88866,0.57,5.69,0.57 pips,
5,32494018,2022-09-07 19:43:19,BUY,0.03,NZDCAD,0.79656,0.79535,-0.29,-2.87,-0.29 pips,
6,32470919,2022-09-06 13:58:03,BUY,0.03,NZDCAD,0.79766,0.79870,0.23,2.30,0.23 pips,
7,32469571,2022-09-09 06:17:28,BUY,0.03,AUDCAD,0.88981,0.88866,-0.33,-3.31,-0.33 pips,
8,32458604,2022-09-06 07:30:03,BUY,0.03,AUDCAD,0.89200,0.89311,0.25,2.46,0.25 pips,
9,32392420,2022-09-02 18:09:57,WITHDRAWAL,0.00,-11.18,,,,,,
10,32303493,2022-09-01 13:24:03,SELL,0.03,NZDCAD,0.80490,0.80383,0.24,2.37,0.24 pips,
11,32303240,2022-09-01 12:10:17,SELL,0.03,AUDCAD,0.90149,0.90044,0.23,2.31,0.23 pips,
12,32291644,2022-09-01 09:59:07,SELL,0.03,AUDNZD,1.12047,1.11940,0.19,1.87,0.19 pips,
13,32289168,2022-09-01 08:28:26,BUY,0.03,NZDCAD,0.80036,0.80141,0.23,2.32,0.23 pips,
14,32288438,2022-09-01 07:54:00,BUY,0.03,AUDCAD,0.89506,0.89611,0.23,2.31,0.23 pips,
