num,time,side,lot,sym,o,c,pip,size,pips,
112493941,2022-07-23 10:48:42,DEPOSIT,0,4.55,,,,,,
112493937,2022-07-23 10:48:41,DEPOSIT,0,2.03,,,,,,
112493935,2022-07-23 10:48:41,DEPOSIT,0,0.79,,,,,,
112493929,2022-07-23 10:48:40,DEPOSIT,0,2.27,,,,,,
112493916,2022-07-23 10:48:38,DEPOSIT,0,2.27,,,,,,
112493914,2022-07-23 10:48:38,DEPOSIT,0,0.79,,,,,,
112493908,2022-07-23 10:48:37,DEPOSIT,0,2.27,,,,,,
112493901,2022-07-23 10:48:35,DEPOSIT,0,4.55,,,,,,
112493890,2022-07-23 10:48:31,DEPOSIT,0,2.03,,,,,,
112493884,2022-07-23 10:48:30,DEPOSIT,0,4.55,1 ... 7 8 9 10 11 ... 107,,,,,
112493881,2022-07-23 10:48:30,DEPOSIT,0,2.27,,,,,,
112493880,2022-07-23 10:48:30,DEPOSIT,0,4.55,,,,,,
112493879,2022-07-23 10:48:29,DEPOSIT,0,0.31,,,,,,
112493878,2022-07-23 10:48:29,DEPOSIT,0,2.27,,,,,,
112493873,2022-07-23 10:48:28,DEPOSIT,0,4.55,,,,,,
112493872,2022-07-23 10:48:28,DEPOSIT,0,4.55,,,,,,
112493868,2022-07-23 10:48:25,DEPOSIT,0,0.22,,,,,,
112493865,2022-07-23 10:48:24,DEPOSIT,0,0.96,,,,,,
112493852,2022-07-23 10:48:08,DEPOSIT,0,2.27,,,,,,
112493851,2022-07-23 10:48:07,DEPOSIT,0,1.27,,,,,,
112493849,2022-07-23 10:48:07,DEPOSIT,0,0.79,,,,,,
112493845,2022-07-23 10:48:03,DEPOSIT,0,1.58,,,,,,
112493834,2022-07-23 10:47:56,DEPOSIT,0,0.63,,,,,,
112493817,2022-07-23 10:47:41,DEPOSIT,0,2.27,,,,,,
112493816,2022-07-23 10:47:41,DEPOSIT,0,0.3,,,,,,
112493768,2022-07-23 10:46:58,DEPOSIT,0,2.07,,,,,,
112493759,2022-07-23 10:46:54,DEPOSIT,0,2.27,,,,,,
112493753,2022-07-23 10:46:51,DEPOSIT,0,4.24,,,,,,
112493735,2022-07-23 10:46:42,DEPOSIT,0,0.79,,,,,,
112493724,2022-07-23 10:46:38,DEPOSIT,0,0.02,1 ... 8 9 10 11 12 ... 107,,,,,
112493721,2022-07-23 10:46:36,DEPOSIT,0,2.2,,,,,,
112493692,2022-07-23 10:46:12,DEPOSIT,0,0.79,,,,,,
112493685,2022-07-23 10:46:10,DEPOSIT,0,2.27,,,,,,
112493682,2022-07-23 10:46:10,DEPOSIT,0,0.81,,,,,,
112493669,2022-07-23 10:46:05,DEPOSIT,0,0.81,,,,,,
112493666,2022-07-23 10:46:04,DEPOSIT,0,0.02,,,,,,
112493662,2022-07-23 10:46:02,DEPOSIT,0,10.67,,,,,,
112493655,2022-07-23 10:45:57,DEPOSIT,0,0.81,,,,,,
112493648,2022-07-23 10:45:54,DEPOSIT,0,0.81,,,,,,
112493646,2022-07-23 10:45:53,DEPOSIT,0,0.37,,,,,,
112493643,2022-07-23 10:45:52,DEPOSIT,0,1.76,,,,,,
112493638,2022-07-23 10:45:50,DEPOSIT,0,2.31,,,,,,
112493624,2022-07-23 10:45:46,DEPOSIT,0,1.63,,,,,,
112493620,2022-07-23 10:45:43,DEPOSIT,0,12.33,,,,,,
112493613,2022-07-23 10:45:42,DEPOSIT,0,0.77,,,,,,
112493606,2022-07-23 10:45:40,DEPOSIT,0,1.03,,,,,,
112493597,2022-07-23 10:45:38,DEPOSIT,0,0.81,,,,,,
112493591,2022-07-23 10:45:38,DEPOSIT,0,0.55,,,,,,
112493580,2022-07-23 10:45:35,DEPOSIT,0,1.85,,,,,,
112493578,2022-07-23 10:45:26,DEPOSIT,0,3.24,1 ... 9 10 11 12 13 ... 107,,,,,
112493574,2022-07-23 10:45:22,DEPOSIT,0,2.53,,,,,,
112493567,2022-07-23 10:45:15,DEPOSIT,0,0.83,,,,,,
112493566,2022-07-23 10:45:15,DEPOSIT,0,2,,,,,,
112493560,2022-07-23 10:45:13,DEPOSIT,0,0.77,,,,,,
112493556,2022-07-23 10:45:12,DEPOSIT,0,0.99,,,,,,
112493540,2022-07-23 10:45:03,DEPOSIT,0,0.77,,,,,,
112493505,2022-07-23 10:44:48,DEPOSIT,0,0.39,,,,,,
112493498,2022-07-23 10:44:44,DEPOSIT,0,3.46,,,,,,
112493442,2022-07-23 10:44:08,DEPOSIT,0,2.27,,,,,,
112493432,2022-07-23 10:44:05,DEPOSIT,0,1.8,,,,,,
112493427,2022-07-23 10:44:04,DEPOSIT,0,0.81,,,,,,
112493417,2022-07-23 10:44:00,DEPOSIT,0,0.79,,,,,,
112493412,2022-07-23 10:43:57,DEPOSIT,0,2.27,,,,,,
112493411,2022-07-23 10:43:57,DEPOSIT,0,2.33,,,,,,
112493388,2022-07-23 10:43:46,DEPOSIT,0,2.13,,,,,,
112493378,2022-07-23 10:43:41,DEPOSIT,0,2.16,,,,,,
112493351,2022-07-23 10:43:10,DEPOSIT,0,1.65,,,,,,
112493288,2022-07-23 10:42:11,DEPOSIT,0,2.33,,,,,,
112493285,2022-07-23 10:42:11,DEPOSIT,0,0.93,,,,,,
112493224,2022-07-23 10:41:23,DEPOSIT,0,1.85,1 ... 10 11 12 13 14 ... 107,,,,,
112493221,2022-07-23 10:41:18,DEPOSIT,0,0.22,,,,,,
112493207,2022-07-23 10:41:00,DEPOSIT,0,0.09,,,,,,
112493205,2022-07-23 10:40:56,DEPOSIT,0,2.27,,,,,,
112493195,2022-07-23 10:40:20,DEPOSIT,0,2.25,,,,,,
112493170,2022-07-23 10:40:00,DEPOSIT,0,3.08,,,,,,
112493134,2022-07-23 10:38:19,DEPOSIT,0,2.68,,,,,,
112493112,2022-07-23 10:37:36,DEPOSIT,0,2.31,,,,,,
112493095,2022-07-23 10:36:42,DEPOSIT,0,0.22,,,,,,
112493090,2022-07-23 10:36:29,DEPOSIT,0,2.27,,,,,,
112493089,2022-07-23 10:36:27,DEPOSIT,0,0.75,,,,,,
112493072,2022-07-23 10:35:32,DEPOSIT,0,0.9,,,,,,
112493066,2022-07-23 10:35:17,DEPOSIT,0,1.01,,,,,,
112493048,2022-07-23 10:34:11,DEPOSIT,0,2.27,,,,,,
112493044,2022-07-23 10:33:54,DEPOSIT,0,1.8,,,,,,
112493039,2022-07-23 10:33:39,DEPOSIT,0,2.04,,,,,,
112493035,2022-07-23 10:33:22,DEPOSIT,0,0.92,,,,,,
112493024,2022-07-23 10:32:39,DEPOSIT,0,2.27,,,,,,
112492992,2022-07-23 10:31:27,DEPOSIT,0,29.39,,,,,,
112492985,2022-07-23 10:31:13,DEPOSIT,0,0.22,,,,,,
112492977,2022-07-23 10:30:33,DEPOSIT,0,0.29,1 ... 11 12 13 14 15 ... 107,,,,,
112492973,2022-07-23 10:30:20,DEPOSIT,0,9.1,,,,,,
112492946,2022-07-23 10:28:37,DEPOSIT,0,2.25,,,,,,
112492944,2022-07-23 10:28:36,DEPOSIT,0,4.55,,,,,,
112492933,2022-07-23 10:27:46,DEPOSIT,0,2.03,,,,,,
112492900,2022-07-23 10:25:22,DEPOSIT,0,15.66,,,,,,
112492883,2022-07-23 10:23:33,DEPOSIT,0,2.43,,,,,,
112492876,2022-07-23 10:21:04,DEPOSIT,0,4.55,,,,,,
112492854,2022-07-23 10:17:20,DEPOSIT,0,0.13,,,,,,
112492842,2022-07-23 10:15:31,DEPOSIT,0,6.83,,,,,,
112492841,2022-07-23 10:15:31,DEPOSIT,0,6.83,,,,,,
112492840,2022-07-23 10:15:31,DEPOSIT,0,6.83,,,,,,
112492839,2022-07-23 10:15:30,DEPOSIT,0,6.83,,,,,,
112492838,2022-07-23 10:15:30,DEPOSIT,0,6.83,,,,,,
112492837,2022-07-23 10:15:29,DEPOSIT,0,6.83,,,,,,
112492836,2022-07-23 10:15:29,DEPOSIT,0,6.83,,,,,,
112492835,2022-07-23 10:15:29,DEPOSIT,0,6.83,,,,,,
112492834,2022-07-23 10:15:29,DEPOSIT,0,6.83,,,,,,
112492833,2022-07-23 10:15:29,DEPOSIT,0,6.83,,,,,,
112492828,2022-07-23 10:13:42,DEPOSIT,0,1.08,,,,,,
