num,time,side,lot,sym,o,c,pip,size,pips
107089242,2022-04-14 06:45:02,SELL,0.0037,AUDNZD,1.09514,1.09341,0.04,0.39,0.04 pips
107065785,2022-04-14 04:43:42,SELL,0.0037,AUDNZD,1.09354,1.09435,-0.02,-0.2,-0.02 pips
107002390,2022-04-13 03:45:04,SELL,0.0037,AUDCAD,0.9432,0.94122,0.06,0.53,0.06 pips
106479243,2022-04-06 16:00:01,SELL,0.0036,AUDCAD,0.95142,0.94524,0.18,1.62,0.18 pips
106479023,2022-04-06 16:30:00,SELL,0.0036,AUDCAD,0.95142,0.94472,0.19,1.76,0.19 pips
106478866,2022-04-06 00:05:37,SELL,0.009,AUDCAD,0.95147,0.94693,0.32,2.98,0.32 pips
106478695,2022-04-06 17:42:15,SELL,0.0036,AUDCAD,0.95146,0.94349,0.23,2.1,0.23 pips
106475010,2022-04-06 17:44:14,SELL,0.0036,AUDCAD,0.95083,0.94314,0.22,2.02,0.22 pips
106474830,2022-04-06 17:45:01,SELL,0.0036,AUDCAD,0.95086,0.94303,0.22,2.06,0.22 pips
106474638,2022-04-06 17:44:46,SELL,0.0036,AUDCAD,0.95094,0.94294,0.23,2.1,0.23 pips
106460622,2022-04-06 00:05:37,SELL,0.0036,AUDCAD,0.94783,0.94693,0.02,0.23,0.02 pips
106460444,2022-04-05 18:57:10,SELL,0.0036,AUDCAD,0.94801,0.94584,0.06,0.57,0.06 pips
106287070,2022-04-01 00:52:32,DEPOSIT,0,0.01,,,,,
106287069,2022-04-01 00:52:32,DEPOSIT,0,0.03,,,,,
106004501,2022-03-29 17:30:00,BUY,0.0039,NZDCAD,0.86087,0.86435,0.11,0.98,0.11 pips
106001128,2022-03-29 17:45:01,BUY,0.0039,NZDCAD,0.86093,0.86544,0.14,1.27,0.14 pips
106000992,2022-03-29 15:13:46,BUY,0.0039,NZDCAD,0.86095,0.86353,0.08,0.73,0.08 pips
105995157,2022-03-29 18:15:00,SELL,0.0089,AUDNZD,1.08768,1.08373,0.24,2.19,0.24 pips
